,date,temp,count
585,2013-10-01,14.69,32
586,2013-11-01,14.81,43
587,2013-12-01,14.66,30
588,2014-01-01,14.73,24
589,2014-02-01,14.52,29
590,2014-03-01,14.77,50
591,2014-04-01,14.78,68
592,2014-05-01,14.86,56
593,2014-06-01,14.65,44
594,2014-07-01,14.57,41
595,2014-08-01,14.82,34
596,2014-09-01,14.9,31
597,2014-10-01,14.85,34
598,2014-11-01,14.67,37
599,2014-12-01,14.79,32
600,2015-01-01,14.82,25
601,2015-02-01,14.86,33
602,2015-03-01,14.9,35
603,2015-04-01,14.74,30
604,2015-05-01,14.77,46
605,2015-06-01,14.77,31
606,2015-07-01,14.71,40
607,2015-08-01,14.78,33
608,2015-09-01,14.81,66
609,2015-10-01,15.06,28
610,2015-11-01,14.99,52
611,2015-12-01,15.09,27
612,2016-01-01,15.129999999999999,37
613,2016-02-01,15.31,24
614,2016-03-01,15.28,30
615,2016-04-01,15.07,57
616,2016-05-01,14.93,30
617,2016-06-01,14.78,41
618,2016-07-01,14.83,36
619,2016-08-01,14.99,35
620,2016-09-01,14.88,46
621,2016-10-01,14.88,36
622,2016-11-01,14.87,44
623,2016-12-01,14.79,53
