,Classifier,F2-Score,BestParameters,FeatureNumber,Normalized,PCA,PCAComponents
129,AdaBoost,0.3405760905760906,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 1}",7,False,False,1
130,Random Forest,0.3413858868404323,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 1}",7,False,False,1
131,k-Nearest Neighbors,0.19764326582508399,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",7,True,False,1
132,Naive Bayes,0.46959101504556056,{},7,False,False,2
133,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",7,True,False,2
134,Decission Tree,0.29921593557957193,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 7}",7,False,False,2
135,AdaBoost,0.28480610298792114,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 2}",7,False,False,2
136,Random Forest,0.29953379953379955,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 1}",7,False,False,2
137,k-Nearest Neighbors,0.19764326582508399,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",7,True,False,2
138,Naive Bayes,0.46959101504556056,{},7,False,False,3
139,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",7,True,False,3
140,Decission Tree,0.29921593557957193,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 7}",7,False,False,3
141,AdaBoost,0.35304089849544396,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 1}",7,False,False,3
142,Random Forest,0.34615384615384615,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 1}",7,False,False,3
143,k-Nearest Neighbors,0.19764326582508399,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",7,True,False,3
144,Naive Bayes,0.2470862470862471,{},8,False,True,1
145,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",8,True,True,1
146,Decission Tree,0.20357420357420358,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1}",8,False,True,1
147,AdaBoost,0.19813519813519814,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 1}",8,False,True,1
148,Random Forest,0.20357420357420358,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 5}",8,False,True,1
149,k-Nearest Neighbors,0.2520769828462136,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",8,True,True,1
150,Naive Bayes,0.3228438228438229,{},8,False,True,2
151,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",8,True,True,2
152,Decission Tree,0.2094273248119402,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5}",8,False,True,2
153,AdaBoost,0.2016165652529289,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 2}",8,False,True,2
154,Random Forest,0.23578985117446655,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 1}",8,False,True,2
155,k-Nearest Neighbors,0.20862470862470864,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'uniform'}",8,True,True,2
156,Naive Bayes,0.3228438228438229,{},8,False,True,3
157,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",8,True,True,3
158,Decission Tree,0.3164714073804983,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 3}",8,False,True,3
159,AdaBoost,0.3815968413870512,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 1}",8,False,True,3
160,Random Forest,0.4874577636815399,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 1}",8,False,True,3
161,k-Nearest Neighbors,0.1549057003602458,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",8,True,True,3
162,Naive Bayes,0.3696581196581197,{},8,False,False,1
163,SVM,0.0543900543900544,"{'C': 1000, 'gamma': 0.001, 'kernel': 'linear'}",8,True,False,1
164,Decission Tree,0.29921593557957193,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 7}",8,False,False,1
165,AdaBoost,0.3610690009291408,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 1}",8,False,False,1
166,Random Forest,0.3778544687635597,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 1}",8,False,False,1
167,k-Nearest Neighbors,0.13270820089001906,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",8,True,False,1
168,Naive Bayes,0.3696581196581197,{},8,False,False,2
169,SVM,0.0543900543900544,"{'C': 1000, 'gamma': 0.001, 'kernel': 'linear'}",8,True,False,2
170,Decission Tree,0.3098114007204916,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 7}",8,False,False,2
171,AdaBoost,0.29012945096861176,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 2}",8,False,False,2
172,Random Forest,0.2801970756516211,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 5, 'n_estimators': 1}",8,False,False,2
173,k-Nearest Neighbors,0.13270820089001906,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",8,True,False,2
174,Naive Bayes,0.3696581196581197,{},8,False,False,3
175,SVM,0.0543900543900544,"{'C': 1000, 'gamma': 0.001, 'kernel': 'linear'}",8,True,False,3
176,Decission Tree,0.35749099385463023,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 7}",8,False,False,3
177,AdaBoost,0.36434525070888707,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 2}",8,False,False,3
178,Random Forest,0.37873742419196965,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 1}",8,False,False,3
179,k-Nearest Neighbors,0.13270820089001906,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",8,True,False,3
180,Naive Bayes,0.2470862470862471,{},9,False,True,1
181,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",9,True,True,1
182,Decission Tree,0.20357420357420358,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1}",9,False,True,1
183,AdaBoost,0.19813519813519814,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 2}",9,False,True,1
184,Random Forest,0.20357420357420358,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 10}",9,False,True,1
185,k-Nearest Neighbors,0.2470862470862471,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",9,True,True,1
186,Naive Bayes,0.3228438228438229,{},9,False,True,2
187,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",9,True,True,2
188,Decission Tree,0.21525483063944606,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5}",9,False,True,2
189,AdaBoost,0.15967365967365968,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 2}",9,False,True,2
190,Random Forest,0.20357420357420358,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 50}",9,False,True,2
191,k-Nearest Neighbors,0.24669774669774672,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",9,True,True,2
192,Naive Bayes,0.3228438228438229,{},9,False,True,3
193,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",9,True,True,3
